,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
35,58362.26990740001,-772.5513192310827,g,g,4492.06341445,4492.06341445,4.1344428937587125e-17,-0.3270207495516395,4.134442893758712e-18,0.1,20.441892815686664,-0.817551873879097,0.1,True
36,58365.29421300022,-769.5270136308754,g,g,4492.06341445,4492.06341445,2.0970469075429733e-17,-0.6218296022069474,2.0970469075429734e-18,0.1,21.178914947324934,-1.5545740055173667,0.1,True
37,58368.36165509978,-766.4595715313117,g,g,4492.06341445,4492.06341445,2.601258532971671e-17,-0.5282542293963459,2.601258532971671e-18,0.1,20.94497651529843,-1.3206355734908612,0.1,True
38,58371.25450230017,-763.5667243309217,g,g,6005.139,6005.139,2.3401617825759726e-17,-0.5741918646848667,2.340161782575973e-18,0.1,21.059820603519732,-1.435479661712165,0.1,True
39,58374.26660879981,-760.554617831287,g,g,4492.06341445,4492.06341445,2.6444941072465262e-17,-0.5210951436319107,2.6444941072465263e-18,0.1,20.927078800887347,-1.3027378590797802,0.1,True
40,58377.25322919991,-757.5679974311861,g,g,4492.06341445,4492.06341445,2.787827145257286e-17,-0.4981719047159139,2.7878271452572863e-18,0.1,20.869770703597354,-1.2454297617897865,0.1,True
41,58380.35094910022,-754.470277530876,g,g,4492.06341445,4492.06341445,3.296821852088528e-17,-0.4253422671159939,3.2968218520885284e-18,0.1,20.68769660959755,-1.0633556677899811,0.1,True
42,58385.33630790003,-749.4849187310683,g,g,4492.06341445,4492.06341445,1.2746780343435252e-16,0.1619627547281759,1.2746780343435252e-17,0.1,19.219434054987126,0.4049068868204415,0.1,True
43,58387.24159719981,-747.5796294312822,g,g,4492.06341445,4492.06341445,8.380867597012352e-17,-0.020148767625432384,8.380867597012353e-18,0.1,19.674712860871143,-0.05037191906357563,0.1,True
44,58388.310925900005,-746.51030073109,g,g,4492.06341445,4492.06341445,7.079515706007112e-17,-0.09343419766305772,7.079515706007111e-18,0.1,19.85792643596521,-0.2335854941576443,0.1,True
