,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
304,59004.31906425,1075.2454117273737,o,o,6790.0,6790.0,5.97702515244759e-17,-0.8096384801253009,5.977025152447591e-18,0.1,19.67191599252164,-2.0240962003132523,0.1,True
305,59005.3632395,1076.2895869773783,o,o,6790.0,6790.0,7.828046977021277e-17,-0.6924701403102738,7.828046977021277e-18,0.1,19.37899514298407,-1.7311753507756826,0.1,True
306,59006.29626725,1077.222614727376,o,o,6790.0,6790.0,5.702858095316486e-17,-0.8300309984212966,5.7028580953164866e-18,0.1,19.722897288261628,-2.0750774960532397,0.1,True
307,59007.31764875,1078.2439962273784,o,o,6790.0,6790.0,1.9396607933320042e-16,-0.29839777613311114,1.9396607933320043e-17,0.1,18.393814232541168,-0.7459944403327796,0.1,True
308,59008.32665775,1079.2530052273796,o,o,6790.0,6790.0,2.4797301810831418e-16,-0.19171913564962395,2.479730181083142e-17,0.1,18.127117631332446,-0.4792978391240581,0.1,True
309,59010.3365145,1081.262861977375,o,o,6790.0,6790.0,4.573931457512318e-17,-0.9258339113408738,4.573931457512318e-18,0.1,19.96240457056057,-2.314584778352181,0.1,True
310,59016.286399000004,1087.2127464773803,o,o,6790.0,6790.0,3.420834450059291e-17,-1.0519915063732057,3.4208344500592915e-18,0.1,20.277798558141402,-2.6299787659330143,0.1,True
311,59020.271027,1091.1973744773786,o,o,6790.0,6790.0,3.2497433365493656e-17,-1.074274501629862,3.2497433365493656e-18,0.1,20.33350604628305,-2.6856862540746604,0.1,True
312,59024.264999750005,1095.191347227381,o,o,6790.0,6790.0,2.7292968635620143e-17,-1.1500727874333592,2.7292968635620145e-18,0.1,20.52300176079179,-2.8751819685834015,0.1,True
313,59026.26387025,1097.1902177273732,o,o,6790.0,6790.0,4.427587594971128e-17,-0.9399564015680468,4.427587594971129e-18,0.1,19.99771079612851,-2.3498910039201206,0.1,True
314,59030.260968999995,1101.1873164773715,o,o,6790.0,6790.0,6.623366079161507e-17,-0.7650448040145719,6.623366079161507e-18,0.1,19.560431802244818,-1.9126120100364297,0.1,True
315,59032.291612500005,1103.2179599773808,o,o,6790.0,6790.0,5.4249642566476375e-17,-0.8517266824530871,5.424964256647638e-18,0.1,19.777136498341108,-2.1293167061327196,0.1,True
316,59034.29232875,1105.2186762273777,o,o,6790.0,6790.0,8.421945002712799e-17,-0.6607111625076953,8.4219450027128e-18,0.1,19.299597698477626,-1.6517779062692384,0.1,True
317,59036.25738550001,1107.1837329773844,o,o,6790.0,6790.0,4.6101467203671353e-17,-0.9224088162937356,4.6101467203671355e-18,0.1,19.95384183294273,-2.306022040734341,0.1,True
318,59040.278121749994,1111.2044692273703,o,o,6790.0,6790.0,3.9499348375691067e-17,-0.9895336324654451,3.949934837569107e-18,0.1,20.121653873372,-2.473834081163613,0.1,True
319,59044.2572145,1115.1835619773774,o,o,6790.0,6790.0,4.657513709619227e-17,-0.9179694216186114,4.657513709619227e-18,0.1,19.942743346254915,-2.2949235540465267,0.1,True
320,59184.643364999996,1255.5697124773724,o,o,6790.0,6790.0,5.86199349837511e-17,-0.8180782311356438,5.86199349837511e-18,0.1,19.693015370047497,-2.0451955778391095,0.1,True
321,59190.595586999996,1261.5219344773723,o,o,6790.0,6790.0,4.998591774358102e-17,-0.8872758933731149,4.998591774358102e-18,0.1,19.866009525641175,-2.218189733432787,0.1,True
322,59216.58217225,1287.508519727373,o,o,6790.0,6790.0,6.839939826757512e-17,-0.7510712824529584,6.839939826757512e-18,0.1,19.525497998340782,-1.8776782061323942,0.1,True
323,59220.617867249995,1291.5442147273716,o,o,6790.0,6790.0,3.7569723991275025e-17,-1.0112855590568728,3.756972399127503e-18,0.1,20.176033689850573,-2.5282138976421855,0.1,True
324,59222.6151095,1293.5414569773784,o,o,6790.0,6790.0,3.261918621315468e-17,-1.0726504415402331,3.261918621315468e-18,0.1,20.329445896058974,-2.6816261038505864,0.1,True
325,59248.5952925,1319.521639977378,o,o,6790.0,6790.0,4.053391554928447e-17,-0.9783050052295685,4.053391554928447e-18,0.1,20.093582305282307,-2.4457625130739196,0.1,True
326,59252.58586199999,1323.5122094773687,o,o,6790.0,6790.0,3.196391311023398e-17,-1.0814636221331178,3.1963913110233983e-18,0.1,20.35147884754118,-2.7036590553327926,0.1,True
327,59268.442981500004,1339.36932897738,o,o,6790.0,6790.0,3.7569723991275025e-17,-1.0112855590568728,3.756972399127503e-18,0.1,20.176033689850573,-2.5282138976421855,0.1,True
328,59270.48425375,1341.410601227377,o,o,6790.0,6790.0,7.414279530553646e-17,-0.7160546079361083,7.414279530553647e-18,0.1,19.437956312048662,-1.7901365198402743,0.1,True
329,59276.52115175,1347.4474992273754,o,o,6790.0,6790.0,3.778115460459963e-17,-1.0088483375839594,3.7781154604599635e-18,0.1,20.169940636168285,-2.5221208439598968,0.1,True
330,59278.56309475,1349.4894422273792,o,o,6790.0,6790.0,7.611798553508619e-17,-0.7046362774060455,7.611798553508618e-18,0.1,19.409410485723498,-1.7615906935151102,0.1,True
331,59280.46513875,1351.3914862273741,o,o,6790.0,6790.0,3.0192858501143394e-17,-1.1062193318674147,3.0192858501143396e-18,0.1,20.41336812187693,-2.7655483296685404,0.1,True
332,59284.57432766666,1355.5006751440378,o,o,6790.0,6790.0,4.5860625402259724e-17,-0.9246835906390238,4.5860625402259724e-18,0.1,19.95952876880595,-2.3117089765975614,0.1,True
333,59288.39352175,1359.3198692273727,o,o,6790.0,6790.0,2.6281890168426546e-17,-1.1664669675007104,2.628189016842655e-18,0.1,20.563987210960164,-2.916167418751776,0.1,True
334,59292.40257381817,1363.3289212955497,o,o,5644.285714285715,5644.285714285715,1.789875545291672e-17,-1.3333007291525298,1.7898755452916724e-18,0.1,20.981071615089714,-3.3332518228813264,0.1,True
335,59293.39747166667,1364.3238191440469,o,o,6790.0,6790.0,2.1526375580299756e-17,-1.2531526502201054,2.1526375580299758e-18,0.1,20.78070141775865,-3.1328816255502616,0.1,True
336,59294.422350125,1365.3486976023778,o,o,6790.0,6790.0,1.929255573361658e-17,-1.3007338000132513,1.929255573361658e-18,0.1,20.899654292241518,-3.25183450003313,0.1,True
337,59295.38504775,1366.311395227378,o,o,6790.0,6790.0,3.804974734374522e-17,-1.0057717862227094,3.804974734374522e-18,0.1,20.162249257765165,-2.514429465556777,0.1,True
338,59296.57856830769,1367.5049157850663,o,o,6790.0,6790.0,1.7372541204851075e-17,-1.346260213126996,1.7372541204851078e-18,0.1,21.01347032502588,-3.3656505328174937,0.1,True
339,59297.389881,1368.316228477379,o,o,6790.0,6790.0,5.012762629332089e-17,-0.8860464237167385,5.01276262933209e-18,0.1,19.862935851500232,-2.2151160592918444,0.1,True
340,59304.387062,1375.3134094773777,o,o,6790.0,6790.0,7.82608592312386e-17,-0.6925789518166354,7.82608592312386e-18,0.1,19.379267171749973,-1.731447379541585,0.1,True
341,59305.4609295,1376.3872769773734,o,o,6790.0,6790.0,6.388253941965814e-17,-0.7807413919374433,6.3882539419658146e-18,0.1,19.599673272051994,-1.9518534798436065,0.1,True
342,59306.38587425,1377.3122217273776,o,o,6790.0,6790.0,3.2426136870959815e-17,-1.0752283520262367,3.2426136870959816e-18,0.1,20.335890672273983,-2.6880708800655952,0.1,True
343,59307.49168325001,1378.4180307273855,o,o,6790.0,6790.0,3.769099460978473e-17,-1.0098859655638321,3.769099460978473e-18,0.1,20.172534706117972,-2.524714913909584,0.1,True
344,59322.443177249996,1393.3695247273718,o,o,6790.0,6790.0,3.305162524088294e-17,-1.066930743734357,3.3051625240882943e-18,0.1,20.31514665154428,-2.6673268593358905,0.1,True
345,59324.39616425,1395.322511727376,o,o,6790.0,6790.0,3.139713308644481e-17,-1.089233569673052,3.1397133086444813e-18,0.1,20.37090371639102,-2.7230839241826317,0.1,True
346,59326.32935975,1397.2557072273776,o,o,6790.0,6790.0,5.086136132401037e-17,-0.8797355835007465,5.086136132401037e-18,0.1,19.847158750960254,-2.1993389587518664,0.1,True
