time,flux,filt,sample
-6.249999999999606,-0.01850846362541958,g,1
-6.208333333332943,-0.019601271365964124,g,1
-6.1666666666662735,-0.020709038864541895,g,1
-6.124999999999604,-0.021831552225133777,g,1
-6.083333333332938,-0.022968311345408665,g,1
-6.04166666666627,-0.024120392952760028,g,1
-5.999999999999602,-0.025287043406923004,g,1
-5.958333333332938,-0.02646730091965921,g,1
-5.916666666666266,-0.027662395466943934,g,1
-5.8749999999995985,-0.02887113422487886,g,1
-5.833333333332931,-0.0300942679670122,g,1
-5.791666666666266,-0.031330822373735856,g,1
-5.749999999999595,-0.032581502430428344,g,1
-5.708333333332931,-0.03384538025544259,g,1
-5.666666666666259,-0.03512293549924195,g,1
-5.624999999999588,-0.03641369548005713,g,1
-5.583333333332927,-0.03771774296718888,g,1
-5.541666666666256,-0.039035070365354585,g,1
-5.499999999999591,-0.04036530341831224,g,1
-5.45833333333292,-0.04170840806759202,g,1
-5.416666666666249,-0.043064200317278534,g,1
-5.374999999999584,-0.044432601057138754,g,1
-5.33333333333292,-0.045813544714572885,g,1
-5.291666666666252,-0.047207198937908146,g,1
-5.249999999999577,-0.048613191058233696,g,1
-5.208333333332909,-0.050031056663815576,g,1
-5.166666666666245,-0.05146107425758473,g,1
-5.124999999999574,-0.05290322437974382,g,1
-5.083333333332909,-0.05435725426776017,g,1
-5.041666666666238,-0.05582310882393671,g,1
-4.999999999999577,-0.057300611325004525,g,1
-4.958333333332906,-0.0587895947583057,g,1
-4.916666666666238,-0.060290283323116256,g,1
-4.874999999999567,-0.0618021860856004,g,1
-4.833333333332906,-0.06332531530881624,g,1
-4.791666666666234,-0.06485971880071872,g,1
-4.74999999999957,-0.06640521907058883,g,1
-4.708333333332899,-0.06796155930116043,g,1
-4.666666666666231,-0.06952890334470396,g,1
-4.624999999999563,-0.07110704878450491,g,1
-4.583333333332895,-0.07269583497079779,g,1
-4.541666666666224,-0.07429521012793572,g,1
-4.499999999999563,-0.07590521757192548,g,1
-4.458333333332888,-0.07752535866630694,g,1
-4.416666666666227,-0.07915590676544326,g,1
-4.374999999999556,-0.08079690018855956,g,1
-4.333333333332888,-0.0824476178255189,g,1
-4.291666666666224,-0.08410875809372342,g,1
-4.249999999999552,-0.08577995067145139,g,1
-4.208333333332881,-0.08746050034334374,g,1
-4.166666666666213,-0.08915112771887479,g,1
-4.124999999999549,-0.09085173617889808,g,1
-4.083333333332877,-0.09256153963523417,g,1
-4.041666666666213,-0.09428081162778668,g,1
-3.999999999999549,-0.0960098773858995,g,1
-3.958333333332874,-0.0977481831257414,g,1
-3.916666666666206,-0.09949548236215122,g,1
-3.8749999999995417,-0.10125197833047395,g,1
-3.8333333333328774,-0.10301787038498489,g,1
-3.7916666666662024,-0.10479260122439271,g,1
-3.749999999999538,-0.10657663717154264,g,1
-3.7083333333328703,-0.10836896752632086,g,1
-3.6666666666662024,-0.11017038731725748,g,1
-3.624999999999538,-0.11198057790496918,g,1
-3.5833333333328667,-0.11379937961221387,g,1
-3.5416666666662024,-0.11562670354011573,g,1
-3.4999999999995346,-0.1174622437296513,g,1
-3.4583333333328596,-0.11930663088376292,g,1
-3.4166666666661953,-0.1211592207256551,g,1
-3.374999999999524,-0.12302007793288539,g,1
-3.3333333333328596,-0.12488908919506869,g,1
-3.291666666666192,-0.12676567796782834,g,1
-3.2499999999995275,-0.12865088968005978,g,1
-3.208333333332856,-0.13054360815190336,g,1
-3.1666666666661847,-0.1324448852976019,g,1
-3.1249999999995204,-0.13435362032933895,g,1
-3.083333333332849,-0.1362700531262746,g,1
-3.0416666666661847,-0.13819408430016722,g,1
-2.9999999999995133,-0.14012571698465237,g,1
-2.9583333333328454,-0.14206509836575165,g,1
-2.9166666666661776,-0.1440119475655237,g,1
-2.874999999999517,-0.14596597540985456,g,1
-2.8333333333328454,-0.14792765250189177,g,1
-2.791666666666181,-0.14989666375720034,g,1
-2.7499999999995097,-0.1518722397035006,g,1
-2.7083333333328383,-0.1538555130894821,g,1
-2.6666666666661705,-0.15584571177259576,g,1
-2.6249999999995026,-0.15784256296815968,g,1
-2.583333333332842,-0.15984700115724237,g,1
-2.541666666666174,-0.1618582714933936,g,1
-2.4999999999995026,-0.16387594120908133,g,1
-2.4583333333328348,-0.16590085843265712,g,1
-2.4166666666661634,-0.16793196459439486,g,1
-2.374999999999499,-0.16997012018495283,g,1
-2.3333333333328277,-0.17201453139969303,g,1
-2.29166666666616,-0.17406593785101165,g,1
-2.2499999999994955,-0.17612308516842035,g,1
-2.208333333332824,-0.17818723196158714,g,1
-2.16666666666616,-0.18025739014862197,g,1
-2.124999999999492,-0.18233405865470687,g,1
-2.083333333332824,-0.18441707109734295,g,1
-2.0416666666661527,-0.18650620608325497,g,1
-1.9999999999994884,-0.18860093757920637,g,1
-1.9583333333328206,-0.19070215480961394,g,1
-1.9166666666661563,-0.1928093627496601,g,1
-1.8749999999994849,-0.19492232593362502,g,1
-1.833333333332817,-0.19704157039569736,g,1
-1.7916666666661456,-0.19916658675240484,g,1
-1.7499999999994849,-0.2012968452571613,g,1
-1.708333333332817,-0.2034331626999375,g,1
-1.6666666666661456,-0.20557531993624423,g,1
-1.6249999999994813,-0.2077231295272881,g,1
-1.58333333333281,-0.20987616433014722,g,1
-1.5416666666661385,-0.21203506538504513,g,1
-1.4999999999994706,-0.21419926351068241,g,1
-1.4583333333328028,-0.21636891908905653,g,1
-1.416666666666142,-0.2185439159879614,g,1
-1.3749999999994706,-0.22072421733328085,g,1
-1.3333333333328063,-0.22291005405862307,g,1
-1.2916666666661314,-0.2251008065413771,g,1
-1.2499999999994706,-0.22729690344168318,g,1
-1.2083333333327992,-0.22949805042670235,g,1
-1.1666666666661314,-0.23170419723322766,g,1
-1.12499999999946,-0.23391555353882865,g,1
-1.0833333333327957,-0.23613138381835697,g,1
-1.0416666666661278,-0.23835289525777625,g,1
-0.99999999999946,-0.24057898789315502,g,1
-0.9583333333327957,-0.24280980458090085,g,1
-0.9166666666661207,-0.24504564157946263,g,1
-0.8749999999994529,-0.24728627362540223,g,1
-0.8333333333327886,-0.24953124128644788,g,1
-0.7916666666661207,-0.25178122255055513,g,1
-0.7499999999994529,-0.2540356932202137,g,1
-0.7083333333327886,-0.2562945775449954,g,1
-0.6666666666661136,-0.2585583630814092,g,1
-0.6249999999994458,-0.260826182546257,g,1
