,MJD,Phase,Filter,ShiftedFilter,Wavelength,ShiftedWavelength,Flux,ShiftedFlux,Fluxerr,ShiftedFluxerr,Mag,ShiftedMag,Magerr,Nondetection
27,57484.376000000164,-15.96971724226023,g,g,4830.0,4830.0,2.8131982797148415e-16,-0.9219476176525028,2.8131982797148417e-17,0.1,18.359934452,-2.4359924729440845,0.1,True
28,57484.3799800002,-15.96573724222253,g,g,4830.0,4830.0,3.217698676590269e-16,-0.8636025889325012,3.217698676590269e-17,0.1,18.2140718802,-2.2901299011440823,0.1,True
29,57484.40864000004,-15.937077242386295,g,g,4830.0,4830.0,3.0999822587593038e-16,-0.8797887524525034,3.099982258759304e-17,0.1,18.254537289,-2.3305953099440853,0.1,True
30,57485.263300000224,-15.082417242199881,g,g,4830.0,4830.0,3.984009612155113e-16,-0.7708275832525029,3.9840096121551133e-17,0.1,17.982134366,-2.058192386944084,0.1,True
31,57485.266100000124,-15.079617242299719,g,g,4830.0,4830.0,3.89117157518097e-16,-0.7810675800525022,3.89117157518097e-17,0.1,18.007734358,-2.083792378944084,0.1,True
32,57485.38940000022,-14.956317242205841,g,g,4830.0,4830.0,4.0394325615507057e-16,-0.7648275988525022,4.0394325615507057e-17,0.1,17.967134405,-2.043192425944083,0.1,True
33,57486.11620000005,-14.22951724237646,g,g,4830.0,4830.0,5.669181535615159e-16,-0.6176275968525022,5.669181535615159e-17,0.1,17.5991344,-1.675192420944084,0.1,True
34,57486.11899999995,-14.226717242476298,g,g,4830.0,4830.0,5.631192336561133e-16,-0.6205475996525021,5.631192336561134e-17,0.1,17.606434407,-1.6824924279440818,0.1,True
35,57486.173599999864,-14.172117242560489,g,g,4830.0,4830.0,5.740111989613711e-16,-0.6122275952525023,5.740111989613711e-17,0.1,17.585634396,-1.6616924169440832,0.1,True
36,57486.1771999998,-14.168517242622329,g,g,4830.0,4830.0,5.964312024041634e-16,-0.5955876052525024,5.964312024041634e-17,0.1,17.544034421,-1.6200924419440828,0.1,True
37,57486.863799999934,-13.481917242490454,g,g,4830.0,4830.0,7.729659371459847e-16,-0.4829876048525019,7.729659371459848e-17,0.1,17.26253442,-1.338592440944085,0.1,True
38,57486.86739999987,-13.478317242552293,g,g,4830.0,4830.0,7.844411663885728e-16,-0.4765875840525009,7.844411663885728e-17,0.1,17.246534368,-1.3225923889440825,0.1,True
39,57487.1222000001,-13.223517242324306,g,g,4830.0,4830.0,8.171097396626042e-16,-0.45886757365250297,8.171097396626042e-17,0.1,17.202234342,-1.278292362944084,0.1,True
40,57487.12589999987,-13.219817242556019,g,g,4830.0,4830.0,7.990985745595436e-16,-0.46854760485250146,7.990985745595437e-17,0.1,17.22643442,-1.302492440944084,0.1,True
41,57487.27389999991,-13.071817242511315,g,g,4830.0,4830.0,8.073100742180827e-16,-0.46410758885250303,8.073100742180828e-17,0.1,17.21533438,-1.2913924009440851,0.1,True
42,57487.27669999981,-13.069017242611153,g,g,4830.0,4830.0,7.952073266211918e-16,-0.47066758805250153,7.952073266211919e-17,0.1,17.231734378,-1.3077923989440823,0.1,True
43,57487.379,-12.966717242423329,g,g,4830.0,4830.0,8.755926835914582e-16,-0.428845836852501,8.755926835914582e-17,0.1,17.12718,-1.2032380209440827,0.1,True
44,57487.867899999954,-12.477817242470337,g,g,4830.0,4830.0,1.0532231295622041e-15,-0.3486275728525019,1.0532231295622042e-16,0.1,16.92663434,-1.0026923609440832,0.1,True
45,57487.91550000012,-12.430217242304934,g,g,4830.0,4830.0,1.091843487383217e-15,-0.3329875728525007,1.091843487383217e-16,0.1,16.88753434,-0.963592360944082,0.1,True
46,57487.91910000006,-12.426617242366774,g,g,4830.0,4830.0,1.04799779278069e-15,-0.3507875928525017,1.04799779278069e-16,0.1,16.93203439,-1.0080924109440819,0.1,True
47,57488.85539999977,-11.490317242656602,g,g,4830.0,4830.0,1.2767926829834837e-15,-0.26502757565250157,1.2767926829834838e-16,0.1,16.717634347,-0.7936923679440842,0.1,True
48,57488.85900000017,-11.48671724225278,g,g,4830.0,4830.0,1.1282370453655285e-15,-0.31874760525250245,1.1282370453655285e-16,0.1,16.851934421,-0.9279924419440828,0.1,True
49,57489.1353000002,-11.210417242225958,g,g,4830.0,4830.0,1.3775912891537169e-15,-0.23202757285250186,1.377591289153717e-16,0.1,16.63513434,-0.711192360944084,0.1,True
50,57489.1381000001,-11.207617242325796,g,g,4830.0,4830.0,1.3284963476446211e-15,-0.24778759605250222,1.3284963476446213e-16,0.1,16.674534398,-0.7505924189440822,0.1,True
51,57489.84849999985,-10.49721724257688,g,g,4830.0,4830.0,1.4143613435671899e-15,-0.22058758285250235,1.41436134356719e-16,0.1,16.606534365,-0.6825923859440852,0.1,True
